Year,Make,Transmission,Engine Cylinders,Turbocharger,Fuel Type,MPG,City Fuel Consumption,Highway Fuel Consumption
0,37,27,8,0,7,12,2587.365,2822.58
0,37,27,8,0,7,10,2352.15,2587.365
0,37,27,8,0,7,11,2352.15,2822.58
0,37,27,8,0,7,11,2587.365,2822.58
0,37,27,8,0,7,10,2352.15,2352.15
0,37,36,6,0,7,14,3057.795,3528.225
0,37,36,8,0,7,12,2587.365,3293.01
0,37,36,8,0,7,11,2587.365,2822.58
0,37,27,8,0,7,11,2587.365,2822.58
0,37,27,8,0,7,11,2587.365,2587.365
0,37,36,8,0,7,12,2587.365,3057.795
0,37,27,4,0,7,19,4233.87,5174.73
0,37,27,6,0,7,18,3763.44,4939.515
0,37,27,4,0,7,19,4233.87,4704.3
0,37,27,6,0,7,17,3528.225,4469.085
0,37,36,4,0,7,24,4939.515,6586.02
0,37,36,4,0,0,26,5880.375,6586.02
0,37,36,4,0,7,21,4469.085,5645.16
0,37,36,4,0,7,19,3998.655,5174.73
0,37,36,6,0,7,20,4233.87,5409.945
0,37,36,6,0,7,19,3998.655,5174.73
0,37,38,4,0,7,22,4704.3,6115.59
0,37,38,4,0,7,21,4469.085,5645.16
0,37,38,4,0,7,19,3998.655,5174.73
0,37,38,6,0,7,19,3998.655,5645.16
0,37,38,6,0,7,18,3763.44,5174.73
0,37,27,6,0,7,15,3528.225,3998.655
0,37,27,6,0,7,14,3057.795,3528.225
0,37,36,4,0,7,19,4233.87,4939.515
0,37,36,4,0,7,18,3763.44,4939.515
0,37,36,6,0,7,19,3998.655,5174.73
0,37,36,4,0,7,18,3998.655,4704.3
0,37,36,6,0,7,17,3528.225,4469.085
0,37,38,4,0,7,20,4233.87,5409.945
0,37,38,4,0,7,18,3763.44,5174.73
0,37,38,6,0,7,17,3528.225,4939.515
0,37,38,6,0,7,17,3528.225,4704.3
0,37,36,4,0,7,17,3763.44,4233.87
0,37,36,6,0,7,14,3057.795,3528.225
0,37,36,4,0,7,17,3763.44,4469.085
0,38,27,6,0,7,15,3293.01,3998.655
0,38,27,8,0,7,14,3057.795,3763.44
0,38,28,6,0,7,16,3528.225,4469.085
0,38,28,8,0,7,15,3293.01,4233.87
0,38,28,8,0,0,19,3998.655,5174.73
0,38,28,6,0,7,15,3293.01,3998.655
0,38,28,8,0,7,14,3057.795,3998.655
0,38,35,6,0,7,17,3528.225,4469.085
0,38,35,8,0,7,15,3293.01,3998.655
0,38,35,6,0,7,15,3293.01,3998.655
0,38,36,6,0,7,17,3528.225,4704.3
0,38,36,8,0,7,16,3528.225,3998.655
0,38,36,8,0,0,20,4233.87,5174.73
0,38,36,8,0,0,19,4233.87,4704.3
0,38,36,6,0,7,15,3293.01,4233.87
0,38,36,6,0,7,17,3528.225,4469.085
0,38,36,8,0,7,15,3293.01,3998.655
0,38,28,8,0,7,13,2822.58,3528.225
0,38,28,8,0,7,13,2587.365,3528.225
0,38,28,8,0,0,18,3763.44,5174.73
0,38,28,8,0,0,17,3528.225,4469.085
0,38,28,6,0,7,14,3057.795,3998.655
0,38,28,8,0,7,14,3057.795,3998.655
0,38,28,8,0,0,19,3998.655,5174.73
0,38,28,8,0,7,13,2587.365,3528.225
0,38,36,8,0,7,13,2822.58,3528.225
0,38,36,8,0,0,20,4233.87,5174.73
0,38,36,8,0,0,18,3998.655,4469.085
0,38,36,8,0,0,19,4233.87,5174.73
0,38,27,6,0,7,17,3528.225,4469.085
0,38,27,8,0,7,15,3293.01,4233.87
0,38,27,8,0,0,20,4233.87,5645.16
0,38,27,8,0,7,15,3293.01,3998.655
0,38,28,6,0,7,18,3528.225,5174.73
0,38,28,8,0,7,17,3528.225,4704.3
0,38,28,8,0,0,21,4233.87,6115.59
0,38,27,6,0,7,14,3057.795,3763.44
0,38,27,8,0,7,13,2587.365,3528.225
0,38,28,6,0,7,14,3057.795,3998.655
0,38,28,8,0,7,13,2822.58,3528.225
0,38,28,8,0,7,13,2587.365,3528.225
0,38,28,8,0,0,18,3763.44,5174.73
0,38,28,8,0,0,17,3528.225,4469.085
0,38,35,6,0,7,14,3057.795,3528.225
0,38,36,8,0,0,18,3998.655,4704.3
0,38,36,8,0,0,19,4233.87,4704.3
0,38,28,8,0,7,11,2352.15,2822.58
0,38,28,8,0,7,14,2822.58,3763.44
0,38,28,8,0,0,18,3763.44,4704.3
0,38,28,8,0,7,12,2587.365,3528.225
0,38,28,8,0,0,16,3528.225,4469.085
0,38,36,8,0,7,14,2822.58,3763.44
0,38,28,6,0,7,15,3293.01,3998.655
0,38,28,8,0,7,14,3057.795,3763.44
0,38,28,8,0,0,18,3763.44,4704.3
0,38,28,8,0,7,13,2587.365,3528.225
0,38,28,8,0,0,17,3528.225,4704.3
0,38,36,6,0,7,14,3057.795,3998.655
0,38,36,6,0,7,14,3057.795,3763.44
0,38,36,8,0,7,13,2587.365,3528.225
0,38,36,8,0,7,14,2822.58,3763.44
0,38,36,8,0,0,18,3998.655,4704.3
0,38,36,8,0,0,17,3998.655,4233.87
0,38,28,8,0,7,12,2587.365,3293.01
0,38,28,8,0,0,16,3528.225,4704.3
0,38,36,8,0,7,11,2352.15,2822.58
0,38,28,8,0,7,12,2587.365,3528.225
0,38,28,8,0,0,18,3763.44,4704.3
0,38,36,8,0,7,12,2587.365,3057.795
0,38,36,8,0,0,18,3998.655,4704.3
0,38,36,8,0,0,17,3763.44,4233.87
0,38,28,6,0,7,13,3057.795,3057.795
0,38,28,6,0,7,14,3057.795,3528.225
0,38,36,4,0,7,15,3528.225,3763.44
0,38,36,6,0,7,13,3057.795,3293.01
0,38,27,4,0,7,21,4469.085,5645.16
0,38,28,6,0,7,18,3763.44,5174.73
0,38,28,6,0,7,19,3998.655,5645.16
0,38,36,4,0,7,21,4469.085,5880.375
0,38,36,6,0,7,18,3763.44,5174.73
0,38,36,4,0,7,22,4704.3,6115.59
0,38,38,4,0,7,22,4704.3,6115.59
0,38,38,6,0,7,18,3763.44,5174.73
0,38,38,4,0,7,23,4704.3,6350.805
0,38,27,4,0,7,20,4233.87,5645.16
0,38,28,4,0,7,20,4233.87,5645.16
0,38,28,6,0,7,18,3763.44,5174.73
0,38,28,6,0,7,19,3998.655,5645.16
0,38,36,4,0,7,24,4939.515,6821.235
0,38,36,4,0,7,21,4469.085,5880.375
0,38,36,4,0,0,28,6115.59,7291.665
0,38,36,6,0,7,18,3763.44,4939.515
0,38,36,4,0,7,23,4939.515,6115.59
0,38,36,6,0,7,18,3763.44,5174.73
0,38,38,4,0,7,26,5409.945,7291.665
0,38,38,4,0,7,22,4704.3,6115.59
0,38,38,4,0,0,29,6115.59,7526.88
0,38,38,6,0,7,18,3763.44,5174.73
0,38,38,4,0,7,23,4704.3,6350.805
0,38,38,4,0,0,28,6115.59,7291.665
0,38,38,6,0,7,19,3763.44,5409.945
0,38,28,6,0,7,18,3763.44,5174.73
0,38,36,6,0,7,18,3763.44,5174.73
0,38,28,6,0,7,18,3528.225,5174.73
0,38,36,4,0,7,20,4233.87,5645.16
0,38,36,6,0,7,17,3528.225,4704.3
0,38,36,4,0,7,20,4233.87,5409.945
0,38,38,4,0,7,20,4233.87,5409.945
0,38,38,6,0,7,17,3528.225,5174.73
0,38,38,4,0,7,20,3998.655,5645.16
0,38,28,6,0,7,18,3763.44,5174.73
0,38,36,4,0,7,20,4233.87,5409.945
0,38,36,6,0,7,17,3528.225,4704.3
0,38,36,6,0,7,17,3528.225,4939.515
0,38,38,4,0,7,20,4233.87,5645.16
0,38,38,6,0,7,18,3528.225,5174.73
0,38,27,6,0,7,15,3293.01,3998.655
0,38,27,8,0,7,14,3057.795,3763.44
0,38,28,6,0,7,15,3293.01,4233.87
0,38,28,8,0,7,15,3057.795,4233.87
0,38,28,8,0,0,19,3998.655,5174.73
0,38,28,6,0,7,15,3293.01,3998.655
0,38,28,8,0,7,14,3057.795,3998.655
0,38,35,6,0,7,16,3528.225,3998.655
0,38,35,8,0,7,15,3293.01,3998.655
0,38,35,6,0,7,15,3293.01,3763.44
0,38,36,6,0,7,16,3528.225,4469.085
0,38,36,8,0,7,16,3528.225,3998.655
0,38,36,8,0,0,20,4233.87,5174.73
0,38,36,6,0,7,15,3293.01,3998.655
0,38,36,8,0,0,19,4233.87,5174.73
0,38,28,6,0,7,14,3057.795,3998.655
0,38,35,6,0,7,14,3057.795,3528.225
0,44,27,4,0,0,27,6350.805,6350.805
0,44,38,4,0,0,31,7291.665,7526.88
0,48,36,4,0,7,19,4233.87,4704.3
0,52,27,4,0,7,19,4233.87,4704.3
0,52,27,4,0,0,24,5409.945,5645.16
0,52,27,4,0,7,19,4233.87,4939.515
0,52,36,4,0,7,24,5174.73,6586.02
0,52,36,4,0,0,31,6821.235,8232.525
0,52,36,4,0,7,23,4939.515,6115.59
0,52,38,4,0,7,23,4939.515,6115.59
0,52,38,4,0,0,30,6586.02,7762.095
0,52,38,4,0,7,22,4704.3,5880.375
0,52,38,4,0,0,29,6350.805,7291.665
0,52,36,4,0,7,20,4469.085,4939.515
0,52,36,4,0,0,25,5880.375,5645.16
0,52,36,4,0,7,19,4233.87,4704.3
0,52,36,4,0,0,24,5645.16,5645.16
0,52,36,4,0,7,18,3998.655,4704.3
0,56,27,4,0,7,18,3998.655,4939.515
0,56,27,6,0,7,16,3528.225,3998.655
0,56,27,4,0,7,18,3998.655,4704.3
0,56,36,4,0,7,21,4469.085,5645.16
0,56,36,4,0,7,20,4233.87,5409.945
0,56,36,4,0,7,20,4233.87,5174.73
0,56,38,4,0,7,21,4469.085,5409.945
0,56,38,6,0,7,17,3528.225,4704.3
0,56,27,6,0,7,16,3528.225,3998.655
0,56,36,4,0,7,21,4469.085,5645.16
0,56,36,4,0,7,20,4233.87,5409.945
0,56,36,6,0,7,17,3763.44,4233.87
0,56,36,4,0,7,20,4233.87,5174.73
0,56,36,6,0,7,16,3528.225,4233.87
0,56,38,4,0,7,21,4469.085,5409.945
0,56,38,6,0,7,17,3763.44,4704.3
0,56,38,6,0,7,17,3763.44,4469.085
0,56,27,6,0,7,18,3763.44,4704.3
0,56,27,6,0,7,15,3293.01,3998.655
0,56,27,8,0,7,11,2352.15,2822.58
0,56,36,6,0,7,16,3528.225,3998.655
0,56,27,6,0,7,17,3528.225,4469.085
0,56,27,8,0,7,11,2352.15,2822.58
0,56,27,6,0,7,16,3528.225,4469.085
0,56,36,6,0,7,16,3528.225,3998.655
0,56,27,6,0,7,18,3763.44,4704.3
